prompt_id,category,type,title,model_name,run_number,open_weights,full_cot,max_tokens,total_score,criteria_met_count,criteria_total_count,success_rate,tokens_output,tokens_reasoning,tokens_completion,char_output,char_reasoning,char_completion,output_entropy,output_bzip2_length,output_bzip2_ratio,output_entropy_ratio,thinking_entropy,thinking_bzip2_length,thinking_bzip2_ratio,thinking_entropy_ratio
bridge_torch_easy_10m,Misguided Attention,logic puzzle,Bridge and Torch problem (Easy),ds-r1-0528-t0.0,3,True,True,60000,1,1,1,1,753,6373,7126,821,23719,24540,4.47736,450,0.54811,0.55967,4.63337,5420,0.22851,0.57917
bridge_torch_easy_10m,Misguided Attention,logic puzzle,Bridge and Torch problem (Easy),ds-r1-0528-t0.0,4,True,True,60000,1,1,1,1,719,6117,6836,1080,22533,23613,4.42976,586,0.51404,0.55372,4.60842,3583,0.23134,0.57605
bridge_torch_easy_10m,Misguided Attention,logic puzzle,Bridge and Torch problem (Easy),ds-r1-0528-t0.0,5,True,True,60000,1,1,1,1,594,4116,4710,1140,15488,16628,4.37212,559,0.51759,0.54651,4.62804,5406,0.23991,0.5785
AIME2023II_P1,AIME2023,Math,apple trees,ds-r1-0528-t1.4,1,True,True,60000,1,1,1,1,818,1697,2515,1469,6258,7727,4.82582,665,0.45269,0.60323,4.82727,2098,0.33525,0.60341
AIME2023II_P1,AIME2023,Math,apple trees,ds-r1-0528-t1.4,2,True,True,60000,1,1,1,1,843,1848,2691,1515,6745,8260,4.77379,764,0.42047,0.59672,4.80147,2902,0.33207,0.60018
AIME2023II_P1,AIME2023,Math,apple trees,ds-r1-0528-t1.4,3,True,True,60000,1,1,1,1,1282,2377,3659,1817,8739,10556,4.7704,641,0.4231,0.5963,4.78442,2270,0.33655,0.59805
AIME2023II_P1,AIME2023,Math,apple trees,ds-r1-0528-t1.4,4,True,True,60000,1,1,1,1,690,1663,2353,1124,6196,7320,4.78871,655,0.4603,0.59859,4.74259,1997,0.34319,0.59282
AIME2023II_P1,AIME2023,Math,apple trees,ds-r1-0528-t1.4,5,True,True,60000,1,1,1,1,713,1587,2300,1423,5819,7242,4.82565,561,0.49911,0.60321,4.84899,2147,0.34651,0.60612
AIME2023II_P1,AIME2023,Math,apple trees,ds-r1-0528-t1.0,1,True,True,60000,1,1,1,1,804,1552,2356,1404,5719,7123,4.74166,611,0.40464,0.59271,4.86857,2060,0.33937,0.60857
AIME2023II_P1,AIME2023,Math,apple trees,ds-r1-0528-t1.0,2,True,True,60000,1,1,1,1,822,1654,2476,1418,6082,7500,4.88137,653,0.46051,0.61017,4.87507,2240,0.3683,0.60938
